mean of interval,sd of inteval,sd of rrdifference,rootmean square,class
833.3333333,834.3333333,835.3333333,836.3333333,1
928.5714286,257.5393768,0,0,1
923.0769231,266.469355,385.6946079,426.4014327,1
1000,0,0,0,1
625,484.1229183,479.1574238,597.6143047,1
928.5714286,257.5393768,0,0,1
785.7142857,410.3259033,433.0127019,500,1
733.3333333,442.2166387,461.5384615,554.7001962,1
933.3333333,249.4438258,0,0,1
928.5714286,257.5393768,372.6779963,408.2482905,1
615.3846154,486.5042554,481.0456929,603.0226892,1
642.8571429,479.1574238,471.4045208,577.3502692,1
923.0769231,266.469355,385.6946079,426.4014327,1
909.0909091,287.4797873,415.7397096,471.4045208,1
625,484.1229183,494.8716593,654.6536707,1
857.1428571,349.9271061,372.6779963,408.2482905,1
846.1538462,360.8012123,287.4797873,301.5113446,1
1000,0,0,0,1
916.6666667,276.3853992,300,316.227766,1
714.2857143,451.7539515,471.4045208,577.3502692,1
800,400,266.469355,277.3500981,1
1000,1001,1002,1003,1
1000,1001,1002,1003,1
866.6666667,339.9346342,360.8012123,392.2322703,1
800,400,360.8012123,392.2322703,1
866.6666667,339.9346342,266.469355,277.3500981,1
916.6666667,276.3853992,400,447.2135955,1
846.1538462,360.8012123,385.6946079,426.4014327,1
750,721.6878365,300,948.6832981,1
909.0909091,287.4797873,415.7397096,471.4045208,1
818.1818182,385.6946079,496.903995,666.6666667,1
818.1818182,385.6946079,471.4045208,577.3502692,1
818.1818182,385.6946079,496.903995,666.6666667,1
1000,0,0,0,1
818.1818182,385.6946079,496.903995,666.6666667,1
833.3333333,372.6779963,489.8979486,632.455532,1
642.8571429,610.2859818,433.0127019,866.0254038,1
615.3846154,486.5042554,481.0456929,797.7240352,1
750,433.0127019,458.2575695,547.7225575,1
769.2307692,421.3250442,445.3617714,522.2329679,1
642.8571429,479.1574238,471.4045208,816.4965809,1
833.3333333,372.6779963,400,447.2135955,1
750,433.0127019,458.2575695,547.7225575,1
714.2857143,451.7539515,433.0127019,500,1
909.0909091,287.4797873,415.7397096,471.4045208,1
769.2307692,421.3250442,445.3617714,522.2329679,1
625,484.1229183,451.7539515,534.5224838,1
866.6666667,339.9346342,461.5384615,554.7001962,1
866.6666667,339.9346342,266.469355,277.3500981,1
857.1428571,349.9271061,372.6779963,408.2482905,1
785.7142857,410.3259033,471.4045208,577.3502692,1
866.6666667,339.9346342,360.8012123,392.2322703,1
666.6666667,471.4045208,433.0127019,500,1
857.1428571,349.9271061,372.6779963,408.2482905,1
900,300,433.0127019,500,1
857.1428571,349.9271061,471.4045208,577.3502692,1
785.7142857,410.3259033,433.0127019,500,1
785.7142857,410.3259033,500,707.1067812,1
1000,0,0,0,1
846.1538462,360.8012123,481.0456929,603.0226892,1
733.3333333,442.2166387,498.5185153,679.3662205,1
916.6666667,276.3853992,400,447.2135955,1
785.7142857,410.3259033,493.0066486,645.4972244,1
625,484.1229183,500,707.1067812,1
625,484.1229183,494.8716593,755.928946,1
714.2857143,451.7539515,493.0066486,645.4972244,1
666.6666667,471.4045208,486.5042554,784.4645406,1
647.0588235,477.884612,498.8876516,683.1300511,1
714.2857143,451.7539515,500,707.1067812,1
714.2857143,451.7539515,493.0066486,763.7626158,1
666.6666667,471.4045208,486.5042554,620.1736729,1
714.2857143,451.7539515,471.4045208,577.3502692,1
769.2307692,421.3250442,497.9295977,738.5489459,1
733.3333333,442.2166387,498.5185153,679.3662205,1
833.3333333,372.6779963,300,316.227766,1
916.6666667,276.3853992,400,447.2135955,1
769.2307692,421.3250442,287.4797873,301.5113446,1
1000,1001,1002,1003,1
785.7142857,786.7142857,787.7142857,788.7142857,1
833.3333333,372.6779963,400,447.2135955,1
1000,1001,1002,1003,1
733.3333333,442.2166387,421.3250442,480.3844614,1
687.5,463.5124054,479.1574238,597.6143047,1
647.0588235,477.884612,400,447.2135955,1
722.2222222,447.9032082,390.3123749,433.0127019,1
625,484.1229183,494.8716593,654.6536707,1
687.5,463.5124054,410.3259033,462.9100499,1
727.2727273,616.575453,785.6742013,1105.541597,1
642.8571429,479.1574238,493.0066486,645.4972244,1
687.5,463.5124054,494.8716593,755.928946,1
769.2307692,421.3250442,287.4797873,301.5113446,1
1000,0,0,0,1
625,484.1229183,500,707.1067812,1
714.2857143,451.7539515,471.4045208,577.3502692,1
1000,0,0,0,1
785.7142857,410.3259033,471.4045208,577.3502692,1
750,433.0127019,494.8716593,755.928946,1
555.5555556,496.903995,433.0127019,500,1
687.5,463.5124054,494.8716593,654.6536707,1
800,400,360.8012123,392.2322703,1
764.7058824,424.182503,400,447.2135955,1
750,433.0127019,471.4045208,577.3502692,1
888.8888889,314.2696805,451.7539515,534.5224838,1
818.1818182,385.6946079,496.903995,666.6666667,1
600,489.8979486,486.5042554,784.4645406,1
